GID,GO,EVIDENCE
SEN_RS06935,GO:0000166,IEA
SEN_RS06935,GO:0005524,IEA
SEN_RS16475,GO:0005829,IEA
SEN_RS16475,GO:0016810,IEA
SEN_RS13375,GO:0005829,IEA
SEN_RS13375,GO:0003824,IEA
SEN_RS10180,GO:0005829,IEA
SEN_RS10180,GO:0003677,IEA
SEN_RS12055,GO:0006082,IEA
SEN_RS12055,GO:0016310,IEA
SEN_RS12055,GO:0006085,IEA
SEN_RS12055,GO:0005829,IEA
SEN_RS12055,GO:0005737,IEA
SEN_RS12055,GO:0016774,IEA
SEN_RS12055,GO:0046872,IEA
SEN_RS12055,GO:0016740,IEA
SEN_RS12055,GO:0016301,IEA
SEN_RS12055,GO:0005524,IEA
SEN_RS12055,GO:0000166,IEA
SEN_RS12055,GO:0008776,IEA
SEN_RS12055,GO:0000287,IEA
SEN_RS11185,GO:0005886,IEA
SEN_RS11185,GO:0016787,IEA
SEN_RS11185,GO:0046872,IEA
SEN_RS11185,GO:0000166,IEA
SEN_RS11185,GO:0051536,IEA
SEN_RS11185,GO:0005524,IEA
SEN_RS11185,GO:0016887,IEA
SEN_RS14935,GO:0006351,IEA
SEN_RS14935,GO:0005829,IEA
SEN_RS18055,GO:0003677,IEA
SEN_RS07210,GO:0030288,IEA
SEN_RS16740,GO:0006306,IEA
SEN_RS16740,GO:0032259,IEA
SEN_RS16740,GO:0003676,IEA
SEN_RS16740,GO:0003677,IEA
SEN_RS16740,GO:0008170,IEA
SEN_RS16740,GO:0016740,IEA
SEN_RS16740,GO:0008168,IEA
SEN_RS18240,GO:0005829,IEA
SEN_RS18240,GO:0016740,IEA
SEN_RS03210,GO:0005829,IEA
SEN_RS03210,GO:0000166,IEA
SEN_RS03210,GO:0005524,IEA
SEN_RS01445,GO:0030288,IEA
SEN_RS15625,GO:0016020,IEA
SEN_RS15625,GO:0005886,IEA
SEN_RS12860,GO:0098869,IEA
SEN_RS12860,GO:0016209,IEA
SEN_RS12860,GO:0016491,IEA
SEN_RS15170,GO:0055085,IEA
SEN_RS15170,GO:0005886,IEA
SEN_RS15170,GO:0016020,IEA
SEN_RS15170,GO:0022857,IEA
SEN_RS15170,GO:0005215,IEA
SEN_RS13380,GO:0006281,IEA
SEN_RS13380,GO:0006974,IEA
SEN_RS13380,GO:0006284,IEA
SEN_RS13380,GO:0005829,IEA
SEN_RS13380,GO:0005737,IEA
SEN_RS13380,GO:0016799,IEA
SEN_RS13380,GO:0016787,IEA
SEN_RS13380,GO:0004844,IEA
SEN_RS08310,GO:0005975,IEA
SEN_RS08310,GO:0016310,IEA
SEN_RS08310,GO:0006040,IEA
SEN_RS08310,GO:0009254,IEA
SEN_RS08310,GO:0097175,IEA
SEN_RS08310,GO:0016740,IEA
SEN_RS08310,GO:0016301,IEA
SEN_RS08310,GO:0000166,IEA
SEN_RS08310,GO:0005524,IEA
SEN_RS08310,GO:0016773,IEA
SEN_RS12060,GO:0006085,IEA
SEN_RS12060,GO:0005829,IEA
SEN_RS12060,GO:0005737,IEA
SEN_RS12060,GO:0016407,IEA
SEN_RS12060,GO:0016740,IEA
SEN_RS12060,GO:0016746,IEA
SEN_RS12060,GO:0008959,IEA
SEN_RS14340,GO:0005829,IEA
SEN_RS14340,GO:0003824,IEA
SEN_RS21665,GO:0005886,IEA
SEN_RS21665,GO:0016020,IEA
SEN_RS21665,GO:0005215,IEA
